"Source","Compare1","Compare2"
"Stanford-scan1","Stanford-scan-15","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-21"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-22"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-16","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-22"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-21","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-23"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-22","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-23","Stanford-scan-24"
"Stanford-scan1","Stanford-scan-23","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-23","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-23","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-23","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-24","Stanford-scan-5"
"Stanford-scan1","Stanford-scan-24","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-24","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-24","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-5","Stanford-scan-6"
"Stanford-scan1","Stanford-scan-5","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-5","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-6","Stanford-scan-7"
"Stanford-scan1","Stanford-scan-6","Stanford-scan-8"
"Stanford-scan1","Stanford-scan-7","Stanford-scan-8"
"Double","Run1","Run2"
"BIDMC_Tonsil","BIDMC_Tonsil_30","BIDMC_Tonsil_31"
"BIDMC_Tonsil","BIDMC_Tonsil_30","BIDMC_Tonsil_32"
"BIDMC_Tonsil","BIDMC_Tonsil_30","BIDMC_Tonsil_33"
"BIDMC_Tonsil","BIDMC_Tonsil_31","BIDMC_Tonsil_32"
"BIDMC_Tonsil","BIDMC_Tonsil_31","BIDMC_Tonsil_33"
"BIDMC_Tonsil","BIDMC_Tonsil_32","BIDMC_Tonsil_33"
"BIDMC_DLBCL","BIDMC_DLBCL_30","BIDMC_DLBCL_31"
"BIDMC_DLBCL","BIDMC_DLBCL_30","BIDMC_DLBCL_32"
"BIDMC_DLBCL","BIDMC_DLBCL_30","BIDMC_DLBCL_33"
"BIDMC_DLBCL","BIDMC_DLBCL_31","BIDMC_DLBCL_32"
"BIDMC_DLBCL","BIDMC_DLBCL_31","BIDMC_DLBCL_33"
"BIDMC_DLBCL","BIDMC_DLBCL_32","BIDMC_DLBCL_33"
"Stanford_Tonsil","Stanford_Tonsil_1","Stanford_Tonsil_2"
"Stanford_Tonsil","Stanford_Tonsil_1","Stanford_Tonsil_3"
"Stanford_Tonsil","Stanford_Tonsil_1","Stanford_Tonsil_4"
"Stanford_Tonsil","Stanford_Tonsil_2","Stanford_Tonsil_3"
"Stanford_Tonsil","Stanford_Tonsil_2","Stanford_Tonsil_4"
"Stanford_Tonsil","Stanford_Tonsil_3","Stanford_Tonsil_4"
"Stanford_OSCC","Stanford_OSCC_1","Stanford_OSCC_2"
"Stanford_OSCC","Stanford_OSCC_1","Stanford_OSCC_3"
"Stanford_OSCC","Stanford_OSCC_1","Stanford_OSCC_4"
"Stanford_OSCC","Stanford_OSCC_2","Stanford_OSCC_3"
"Stanford_OSCC","Stanford_OSCC_2","Stanford_OSCC_4"
"Stanford_OSCC","Stanford_OSCC_3","Stanford_OSCC_4"
"Roche_Tonsil","Roche_Tonsil_1","Roche_Tonsil_2"
"Roche_Tonsil","Roche_Tonsil_1","Roche_Tonsil_3"
"Roche_Tonsil","Roche_Tonsil_1","Roche_Tonsil_4"
"Roche_Tonsil","Roche_Tonsil_2","Roche_Tonsil_3"
"Roche_Tonsil","Roche_Tonsil_2","Roche_Tonsil_4"
"Roche_Tonsil","Roche_Tonsil_3","Roche_Tonsil_4"
"Roche_intestine","Roche_intestine_1","Roche_intestine_2"
"Roche_intestine","Roche_intestine_1","Roche_intestine_3"
"Roche_intestine","Roche_intestine_1","Roche_intestine_4"
"Roche_intestine","Roche_intestine_2","Roche_intestine_3"
"Roche_intestine","Roche_intestine_2","Roche_intestine_4"
"Roche_intestine","Roche_intestine_3","Roche_intestine_4"
"UKentucky_Tonsil","UKentucky_Tonsil_CA20mins","UKentucky_Tonsil_Dako10mins"
"UKentucky_Tonsil","UKentucky_Tonsil_CA20mins","UKentucky_Tonsil_Dako20mins"
"UKentucky_Tonsil","UKentucky_Tonsil_CA20mins","UKentucky_Tonsil_Dako40mins"
"UKentucky_Tonsil","UKentucky_Tonsil_Dako10mins","UKentucky_Tonsil_Dako20mins"
"UKentucky_Tonsil","UKentucky_Tonsil_Dako10mins","UKentucky_Tonsil_Dako40mins"
"UKentucky_Tonsil","UKentucky_Tonsil_Dako20mins","UKentucky_Tonsil_Dako40mins"
"UKentucky_SCC","UKentucky_SCC_Dako20mins","UKentucky_SCC_Dako40mins"
"UKentucky_SCC","UKentucky_SCC_Dako20mins","UKentucky_SCC_Dako10mins"
"UKentucky_SCC","UKentucky_SCC_Dako20mins","UKentucky_SCC_CA20mins"
"UKentucky_SCC","UKentucky_SCC_Dako40mins","UKentucky_SCC_Dako10mins"
"UKentucky_SCC","UKentucky_SCC_Dako40mins","UKentucky_SCC_CA20mins"
"UKentucky_SCC","UKentucky_SCC_Dako10mins","UKentucky_SCC_CA20mins"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_CA20min","ASTAR_COMET_CRC_Tris10min"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_CA20min","ASTAR_COMET_CRC_Tris20min"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_CA20min","ASTAR_COMET_CRC_Tris40min"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_Tris10min","ASTAR_COMET_CRC_Tris20min"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_Tris10min","ASTAR_COMET_CRC_Tris40min"
"ASTAR_COMET_CRC","ASTAR_COMET_CRC_Tris20min","ASTAR_COMET_CRC_Tris40min"
"ASTAR_COMET_Tonsil","ASTAR_COMET_Tonsil_CA20min","ASTAR_COMET_Tonsil_Tris10min"
